"","region","era","index","positive","negative","neutral","percent_negative","percent_positive","percent_neutral","mean","sd","total"
"1","CCC","Era 1","NPGO",157,95,61,0.303514376996805,0.501597444089457,0.194888178913738,14.3727144308515,15.054683363814,313
"2","CCC","Era 1","NPH",136,154,23,0.492012779552716,0.434504792332268,0.073482428115016,14.6722058638581,17.5542592399745,313
"3","CCC","Era 1","ONI",0,22,291,0.0702875399361022,0,0.929712460063898,-20.880785170556,24.1663240521501,313
"4","CCC","Era 1","PDO",70,35,208,0.111821086261981,0.223642172523962,0.664536741214057,1.51188160332855,4.01603387999897,313
"5","CCC","Era 2","NPGO",10,176,127,0.562300319488818,0.0319488817891374,0.405750798722045,3.50886599964923,7.15917517895054,313
"6","CCC","Era 2","NPH",56,155,102,0.495207667731629,0.178913738019169,0.325878594249201,3.79299950136602,5.82428704087968,313
"7","CCC","Era 2","ONI",19,22,272,0.0702875399361022,0.060702875399361,0.869009584664537,-7.8355404350509,14.8768419052774,313
"8","CCC","Era 2","PDO",0,145,168,0.463258785942492,0,0.536741214057508,-3.54809374184338,7.90957222257124,313
"9","CCC","Era 3","NPGO",70,95,148,0.303514376996805,0.223642172523962,0.472843450479233,-0.412755450392859,10.3630293422097,313
"10","CCC","Era 3","NPH",104,161,48,0.514376996805112,0.332268370607029,0.153354632587859,4.66734193904171,12.3345980984975,313
"11","CCC","Era 3","ONI",3,20,290,0.0638977635782748,0.00958466453674121,0.926517571884984,-27.5434752873027,35.1920992164196,313
"12","CCC","Era 3","PDO",14,13,286,0.0415335463258786,0.0447284345047923,0.913738019169329,-7.73204874248614,11.8424697597609,313
"13","CCC","Full","NPGO",31,0,127,0,0.19620253164557,0.80379746835443,12.8466922018316,5.93075379455282,158
"14","CCC","Full","NPH",19,0,139,0,0.120253164556962,0.879746835443038,16.3240361835069,7.55204001948947,158
"15","CCC","Full","ONI",0,18,140,0.113924050632911,0,0.886075949367089,-35.2577364925599,18.7788703647294,158
"16","CCC","Full","PDO",0,123,35,0.778481012658228,0,0.221518987341772,-6.02406655997138,4.88811133861958,158
"17","NCC","Era 1","NPGO",220,193,48,0.418655097613883,0.477223427331887,0.10412147505423,12.3086217075827,13.7155714925884,461
"18","NCC","Era 1","NPH",236,223,2,0.483731019522777,0.511930585683297,0.00433839479392625,23.975597579101,24.2272680954478,461
"19","NCC","Era 1","ONI",0,0,461,0,0,1,-26.5412886587357,27.8353302059045,461
"20","NCC","Era 1","PDO",36,12,413,0.0260303687635575,0.0780911062906725,0.89587852494577,-6.10679856502291,10.5786284437482,461
"21","NCC","Era 2","NPGO",236,223,2,0.483731019522777,0.511930585683297,0.00433839479392625,19.7165574511462,20.714838078294,461
"22","NCC","Era 2","NPH",235,223,3,0.483731019522777,0.509761388286334,0.00650759219088937,10.8463027391487,12.1263321782363,461
"23","NCC","Era 2","ONI",0,2,459,0.00433839479392625,0,0.995661605206074,-41.3778007705939,41.52492300799,461
"24","NCC","Era 2","PDO",0,4,457,0.00867678958785249,0,0.991323210412148,-24.6923960451108,26.2241424020637,461
"25","NCC","Era 3","NPGO",4,115,342,0.249457700650759,0.00867678958785249,0.741865509761388,3.64128490150988,9.19473256385945,461
"26","NCC","Era 3","NPH",140,246,75,0.533622559652928,0.303687635574837,0.162689804772234,5.41959108067822,13.0784674865569,461
"27","NCC","Era 3","ONI",55,39,367,0.0845986984815618,0.119305856832972,0.796095444685466,-5.09684631654412,32.1567003697733,461
"28","NCC","Era 3","PDO",113,13,335,0.0281995661605206,0.245119305856833,0.726681127982646,-1.49801187709416,10.3983099493285,461
"29","NCC","Full","NPGO",0,0,236,0,0,1,20.8896554228036,4.83128968219013,236
"30","NCC","Full","NPH",0,0,236,0,0,1,30.283680108636,5.92055257973225,236
"31","NCC","Full","ONI",0,0,236,0,0,1,-57.3959374584894,10.9477671515716,236
"32","NCC","Full","PDO",0,236,0,1,0,0,-28.9035493062051,5.33367119189372,236
"33","SCC","Era 1","NPGO",4,17,252,0.0622710622710623,0.0146520146520147,0.923076923076923,6.2417896498501,6.23078417576601,273
"34","SCC","Era 1","NPH",36,176,61,0.644688644688645,0.131868131868132,0.223443223443223,1.60763425921215,4.26384802151256,273
"35","SCC","Era 1","ONI",0,113,160,0.413919413919414,0,0.586080586080586,-3.38760452155131,5.67083620116312,273
"36","SCC","Era 1","PDO",0,0,273,0,0,1,-8.51357390128216,10.0219466559239,273
"37","SCC","Era 2","NPGO",74,168,31,0.615384615384615,0.271062271062271,0.113553113553114,0.476003661957377,1.68361640391295,273
"38","SCC","Era 2","NPH",54,134,85,0.490842490842491,0.197802197802198,0.311355311355311,4.70440557756405,5.73048724537605,273
"39","SCC","Era 2","ONI",132,0,141,0,0.483516483516484,0.516483516483517,2.20732847565542,2.10519583542404,273
"40","SCC","Era 2","PDO",0,13,260,0.0476190476190476,0,0.952380952380952,-2.8797900157092,3.95695111030223,273
"41","SCC","Era 3","NPGO",0,42,231,0.153846153846154,0,0.846153846153846,-19.4254304781688,19.6472458431961,273
"42","SCC","Era 3","NPH",0,136,137,0.498168498168498,0,0.501831501831502,-17.4932166436153,18.1364897070324,273
"43","SCC","Era 3","ONI",123,7,143,0.0256410256410256,0.450549450549451,0.523809523809524,16.7397963490867,18.7767971797378,273
"44","SCC","Era 3","PDO",11,3,259,0.010989010989011,0.0402930402930403,0.948717948717949,8.024229027607,7.9375139104726,273
"45","SCC","Full","NPGO",137,0,2,0,0.985611510791367,0.0143884892086331,2.57649377968336,0.846174417443849,139
"46","SCC","Full","NPH",139,0,0,0,1,0,8.21790793936441,1.6509285901492,139
"47","SCC","Full","ONI",54,24,61,0.172661870503597,0.388489208633094,0.438848920863309,2.54336061225398,4.94206816838937,139
"48","SCC","Full","PDO",0,0,139,0,0,1,-6.94358933258026,1.03940615750822,139
