time,sti
UTC,yearday
1967-01-01T00:00:00Z,19.0
1968-01-01T00:00:00Z,24.0
1969-01-01T00:00:00Z,7.0
1970-01-01T00:00:00Z,10.0
1971-01-01T00:00:00Z,1.0
1972-01-01T00:00:00Z,16.0
1973-01-01T00:00:00Z,1.0
1974-01-01T00:00:00Z,16.0
1975-01-01T00:00:00Z,3.0
1976-01-01T00:00:00Z,22.0
1977-01-01T00:00:00Z,2.0
1978-01-01T00:00:00Z,16.0
1979-01-01T00:00:00Z,8.0
1980-01-01T00:00:00Z,48.0
1981-01-01T00:00:00Z,23.0
1982-01-01T00:00:00Z,11.0
1983-01-01T00:00:00Z,35.0
1984-01-01T00:00:00Z,5.0
1985-01-01T00:00:00Z,7.0
1986-01-01T00:00:00Z,13.0
1987-01-01T00:00:00Z,1.0
1988-01-01T00:00:00Z,5.0
1989-01-01T00:00:00Z,3.0
1990-01-01T00:00:00Z,1.0
1991-01-01T00:00:00Z,6.0
1992-01-01T00:00:00Z,5.0
1993-01-01T00:00:00Z,18.0
1994-01-01T00:00:00Z,1.0
1995-01-01T00:00:00Z,25.0
1996-01-01T00:00:00Z,1.0
1997-01-01T00:00:00Z,1.0
1998-01-01T00:00:00Z,39.0
1999-01-01T00:00:00Z,11.0
2000-01-01T00:00:00Z,1.0
2001-01-01T00:00:00Z,6.0
2002-01-01T00:00:00Z,7.0
2003-01-01T00:00:00Z,44.0
2004-01-01T00:00:00Z,14.0
2005-01-01T00:00:00Z,10.0
2006-01-01T00:00:00Z,1.0
2007-01-01T00:00:00Z,2.0
2008-01-01T00:00:00Z,27.0
2009-01-01T00:00:00Z,1.0
2010-01-01T00:00:00Z,21.0
2011-01-01T00:00:00Z,6.0
2012-01-01T00:00:00Z,1.0
2013-01-01T00:00:00Z,4.0
2014-01-01T00:00:00Z,6.0
2015-01-01T00:00:00Z,29.0
2016-01-01T00:00:00Z,5.0
2017-01-01T00:00:00Z,1.0
2018-01-01T00:00:00Z,1.0
2019-01-01T00:00:00Z,16.0
2020-01-01T00:00:00Z,1.0
2021-01-01T00:00:00Z,21.0
2022-01-01T00:00:00Z,2.0
